为什么	wsm
浮漂	fupc
富婆	fupo
父亲	fuqn
夫妻	fuqi
发生器	fuqi
福气	fuqi
负起	fuqi
服气	fuqi
浮起	fuqi
负气	fuqi
付清	fuqy
富强	fuqd
腹腔	fuqd
付钱	fuqm
肤浅	fuqm
浮桥	fuqc
复权	fuqr
父权	fuqr
福寿齐天	fuqt
富饶	furk
复燃	furj
怫然	furj
浮生若梦	furm
扶弱	furo
服软	furr
妇孺	furu
丰神如玉	fury
肤色	fuse
粉身碎骨	fusg
扶桑	fush
赴死	fusi
附送	fuss
复苏	fusu
附随	fusv
富态	futl
俯首帖耳	fute
福特	fute
伏特	fute
附体	futi
扶梯	futi
复谈	futj
福田	futm
伏天	futm
服帖	futx
粉饰太平	futp
腹痛	futs
富士通	futs
附图	futu
浮屠	futu
辐射	fuue
附设	fuue
敷设	fuue
复生	fuug
负伤	fuuh
附上	fuuh
富商	fuuh
腐蚀	fuui
服饰	fuui
副食	fuui
俯视	fuui
服侍	fuui
复式	fuui
釜山	fuuj
富士山	fuuj
风生水起	fuuq
附属	fuuu
服输	fuuu
复述	fuuu
富庶	fuuu
复数	fuuu
负数	fuuu
赋税	fuuv
抚顺	fuup
扶手	fuub
副手	fuub
俯首	fuub
负债	fuvl
扶着	fuve
覆辙	fuve
抚着	fuve
复诊	fuvf
扶正	fuvg
付账	fuvh
腹胀	fuvh
副省长	fuvh
副市长	fuvh
翻身仗	fuvh
飞上枝头变凤凰	fuvh
复制	fuvi
副职	fuvi
扶植	fuvi
赋值	fuvi
福祉	fuvi
服装	fuvd
附着	fuvo
浮肿	fuvs
负重	fuvs
附中	fuvs
飞上枝头	fuvt
辅助	fuvu
扶助	fuvu
付诸	fuvu
扶住	fuvu
福州	fuvb
抚州	fuvb
富翁	fuwg
覆亡	fuwh
父王	fuwh
福寿无疆	fuwj
俯卧	fuwo
服务	fuwu
负心	fuxn
复信	fuxn
复习	fuxi
付息	fuxi
父系	fuxi
伏羲	fuxi
复兴	fuxy
放射性	fuxy
腐蚀性	fuxy
服刑	fuxy
福星	fuxy
复姓	fuxy
福相	fuxd
浮想	fuxd
浮现	fuxm
复线	fuxm
分数线	fuxm
赋闲	fuxm
拂晓	fuxc
附小	fuxc
腹泻	fuxx
腐朽	fuxq
复选	fuxr
父兄	fuxs
抚恤	fuxu
夫婿	fuxu
府衙	fuya
复印	fuyn
福音	fuyn
付印	fuyn
辅音	fuyn
服药	fuyk
副业	fuye
抚养	fuyh
扶养	fuyh
阜阳	fuyh
服役	fuyi
复议	fuyi
敷衍	fuyj
赴宴	fuyj
附言	fuyj
翻山越岭	fuyl
封山育林	fuyl
复原	fuyr
复员	fuyr
幅员	fuyr
服用	fuys
附庸	fuys
赴约	fuyt
赋予	fuyu
富裕	fuyu
抚育	fuyu
富余	fuyu
负于	fuyu
富于	fuyu
风霜雨雪	fuyx
浮云	fuyp
复杂	fuza
浮躁	fuzk
负载	fuzl
犯上作乱	fuzl
发生在	fuzl
负责	fuze
附则	fuze
附赠	fuzg
腑脏	fuzh
父子	fuzi
斧子	fuzi
夫子	fuzi
辅佐	fuzo
副总	fuzs
富足	fuzu
飞沙走石	fuzu
负罪	fuzv
服罪	fuzv
风烛残年	fvcn
付诸东流	fvdl
付之东流	fvdl
反政府	fvfu
非政府	fvfu
非政府组织	fvfv
反政府武装	fvfv
父之过	fvgo
法制化	fvhw
负债累累	fvll
非主流	fvlq
负债率	fvlv
繁殖率	fvlv
辅助码	fvma
反治其身	fvqu
发展趋势	fvqu
负重前行	fvqx
发展趋向	fvqx
扶正祛邪	fvqx
放之四海而皆准	fvsv
纷至沓来	fvtl
付诸实践	fvuj
方针政策	fvvc
发展中国家	fvvj
风烛之年	fvvn
发展中	fvvs
复制粘贴	fvvt
风中之烛	fvvv
负重致远	fvvy
付诸行动	fvxd
辅助性	fvxy
附赘悬疣	fvxy
福至心灵	fvxl
服装鞋帽	fvxm
分之一	fvyi
付之一炬	fvyj
范仲淹	fvyj
粉妆玉砌	fvyq
反之亦然	fvyr
纺织印染	fvyr
粉妆玉琢	fvyv
佛争一炷香	fvyx
父债子还	fvzh
飞针走线	fvzx
肺癌	fzai
飞报	fzbk
诽谤	fzbh
非比	fzbi
肺病	fzby
烦躁不已	fzby
飞镖	fzbc
飞播	fzbo
菲薄	fzbo
分文不取	fwbq
肺部	fzbu
分文不值	fwbv
悱恻	fzce
废词	fzci
翡翠	fzcv
副总参谋长	fzcv
肥大	fzda
飞达	fzda
飞到	fzdk
飞得	fzde
飞抵	fzdi
非但	fzdj
防微杜渐	fwdj
费电	fzdm
沸点	fzdm
废掉	fzdc
飞碟	fzdx
飞渡	fzdu
非得	fzdz
飞蛾	fzee
非法	fzfa
非分	fzff
发自肺腑	fzff
非凡	fzfj
肺腑	fzfu
飞赴	fzfu
狒狒	fzfz
犯罪分子	fzfz
房租费	fzfz
菲菲	fzfz
霏霏	fzfz
防卫过当	fwgd
飞鸽	fzge
奉为圭臬	fwgn
飞过	fzgo
非公	fzgs
费工	fzgs
腓骨	fzgu
副总工程师	fzgu
法网恢恢	fwhh
飞蝗	fzhd
犯罪活动	fzhd
匪患	fzhr
绯红	fzhs
飞回	fzhv
分组会	fzhv
废话	fzhw
复杂化	fzhw
肥厚	fzhb
匪巢	fzik
废柴	fzil
肥差	fzil
飞车	fzie
俯卧撑	fwig
费城	fzig
非常	fzih
奉子成婚	fzih
飞驰	fzii
飞船	fzir
飞虫	fzis
废除	fziu
废黜	fziu
飞出	fziu
费劲	fzjn
飞进	fzjn
费尽	fzjn
飞机	fzji
非经	fzjy
飞剑	fzjm
飞溅	fzjm
飞键	fzjm
吠叫	fzjc
费解	fzjx
废旧	fzjq
法外开恩	fwke
飞快	fzky
奉为楷模	fwkm
肺痨	fzlk
飞来	fzll
费了	fzle
废了	fzle
飞了	fzle
费力	fzli
肥力	fzli
副总理	fzli
非礼	fzli
反误了卿卿性命	fwlm
肥料	fzlc
废料	fzlc
飞落	fzlo
飞流	fzlq
飞龙	fzls
飞掠	fzlt
费率	fzlv
犯罪率	fzlv
废物利用	fwly
飞马	fzma
飞沫	fzmo
肥美	fzmz
肥嫩	fznf
肥腻	fzni
飞鸟	fznc
肥牛	fznq
废品	fzpn
妃嫔	fzpn
飞跑	fzpk
肥皂泡	fzpk
肥胖	fzph
飞盘	fzpj
废票	fzpc
肥婆	fzpo
飞瀑	fzpu
飞禽	fzqn
废弃	fzqi
废气	fzqi
服务器	fwqi
费钱	fzqm
飞球	fzqq
肥缺	fzqt
飞去	fzqu
废人	fzrf
飞人	fzrf
负责人	fzrf
负责任	fzrf
非人	fzrf
繁文缛节	fwrj
方为人上人	fwrr
肥肉	fzrb
飞洒	fzsa
飞散	fzsj
飞梭	fzso
飞速	fzsu
沸腾	fztg
飞艇	fzty
飞天	fztm
肥田	fztm
废铁	fztx
非同	fzts
副总统	fzts
匪徒	fztu
飞腿	fztv
负责同志	fztv
肥臀	fztp
费神	fzuf
飞身	fzuf
飞升	fzug
飞上	fzuh
费事	fzui
费时	fzui
飞逝	fzui
飞霜	fzud
肥硕	fzuo
废水	fzuv
沸水	fzuv
福无双至	fwuv
肥瘦	fzub
废渣	fzva
飞着	fzve
飞涨	fzvh
副组长	fzvh
废纸	fzvi
废止	fzvi
负责制	fzvi
废置	fzvi
方外之人	fwvr
肥猪	fzvu
非洲	fzvb
绯闻	fzwf
飞往	fzwh
肥沃	fzwo
废物	fzwu
飞舞	fzwu
费心	fzxn
飞行	fzxy
复杂性	fzxy
服务性	fwxy
服务性行业	fwxy
服务型	fwxy
飞翔	fzxd
飞向	fzxd
飞泻	fzxx
飞旋	fzxr
飞雪	fzxt
废墟	fzxu
放在心上	fzxu
非要	fzyk
扉页	fzye
废液	fzye
飞扬	fzyh
肥羊	fzyh
非议	fzyi
肺炎	fzyj
服务员	fwyr
费用	fzys
副作用	fzys
反作用	fzys
飞跃	fzyt
飞越	fzyt
飞鱼	fzyu
飞云	fzyp
费油	fzyb
肥皂	fzzk
肺脏	fzzh
妃子	fzzi
非我族类	fwzl
风闻奏事	fwzu
飞贼	fzzz
飞走	fzzb
芳心暗许	fxax
风向标	fxbc
放心不下	fxbx
繁星点点	fxdd
翻箱倒柜	fxdg
发祥地	fxdi
负心多是读书人	fxdr
拂袖而去	fxeq
费心费力	fxfl
复习复习	fxfx
风险共担	fxgd
方向感	fxgj
福星高照	fxgv
福兮祸所伏	fxhf
逢凶化吉	fxhj
负心汉	fxhj
抚恤金	fxjn
负薪救火	fxjh
风雪交加	fxjj
法学家	fxjw
分析家	fxjw
飞行军	fxjp
焚香礼拜	fxlb
发现了	fxle
浮想联翩	fxlp
繁星满天	fxmt
焚香沐浴	fxmy
方向盘	fxpj
赴险如夷	fxry
法西斯	fxsi
繁星似锦	fxsj
放下屠刀	fxtd
风险投资	fxtz
烦心事	fxui
分析师	fxui
方兴未艾	fxwa
发现问题	fxwt
风萧萧兮易水寒	fxxh
方向性	fxxy
风萧萧	fxxc
飞行员	fxyr
法学院	fxyr
风行一时	fxyu
抚心自问	fxzw
分一杯羹	fybg
风云变幻	fybh
飞扬跋扈	fybh
妇幼保健	fybj
非一般	fybj
反应不过来	fybl
放一边	fybm
浮云蔽日	fybr
负有不可推卸的责任	fybr
风雨不透	fybt
发洋财	fycl
反义词	fyci
浮一大白	fydb
发源地	fydi
奋勇当先	fydx
蜂拥而来	fyel
蜂拥而入	fyer
蜂拥而上	fyeu
蜂拥而至	fyev
翻一番	fyfj
附庸风雅	fyfy
风言风语	fyfy
翻云覆雨	fyfy
发言稿	fygk
发扬光大	fygd
发一个	fyge
反应过来	fygl
蜉蝣撼大树	fyhu
富有成效	fyix
风云际会	fyjh
风雨兼程	fyji
复印机	fyji
分忧解愁	fyji
风雨交加	fyjj
复印件	fyjm
佛要金装	fyjv
反映了	fyle
赋予了	fyle
幅员辽阔	fylk
敷衍了事	fylu
风雨飘摇	fypy
发言权	fyqr
发言人	fyrf
非一日之功	fyrg
非一日之寒	fyrh
风雨如晦	fyrh
风雨如磐	fyrp
风云人物	fyrw
飞也似的	fysd
烽烟四起	fysq
匪夷所思	fyss
敷衍塞责	fysz
风云突变	fytb
风雨同舟	fytv
腹有诗书气自华	fyuh
浮游生物	fyuw
繁衍生息	fyux
俯仰生姿	fyuz
俯仰之间	fyvj
防疫站	fyvj
扶摇直上	fyvu
风月无边	fywb
负隅顽抗	fywk
扶摇万里	fywl
敷衍我	fywo
反以为荣	fywr
风雨无阻	fywz
浮语虚辞	fyxc
防御性	fyxy
风韵犹存	fyyc
反咬一口	fyyk
飞檐走壁	fyzb
丰衣足食	fyzu
烦躁不安	fzba
放纵不羁	fzbj
否则的话	fzdh
否定	fbdy
负罪感	fzgj
风姿绰约	fziy
否决	fbjt
发自内心	fznx
犯罪前科	fzqk
否认	fbrf
富在深山有远亲	fzuq
佛祖心中留	fzxl
放在眼里	fzyl
否则	fbze
嘎巴	gaba
嘎嘣	gabg
公安分局	gafj
嘎嘎	gaga
敢爱敢恨	gagh
隔岸观火	gagh
轧差	gaia
古埃及	gaji
公安局	gaju
旮旯	gala
咖喱	gali
伽马	gama
戛纳	gana
高矮胖瘦	gapu
嘎然	garj
港澳台	gatl
各安天命	gatm
轧账	gavh
嘎吱	gavi
苟安一隅	gayy
曱甴	gaza
高傲自大	gazd
干巴巴	gbba
古巴比伦	gbbl
敢不从命	gbcm
干坝村	gbcp
怪不得	gbde
顾不得	gbde
功不抵过	gbdg
搞不定	gbdy
搞不懂	gbds
狗洞	gbds
广播电台	gbdt
干部带头	gbdt
各奔东西	gbdx
概不负责	gbfz
狗吠	gbfz
工本费	gbfz
该不该	gbgl
顾不过来	gbgl
改不改	gbgl
敢不敢	gbgj
干不干	gbgj
怪不怪	gbgy
贵不贵	gbgv
给不给	gbgz
高不高兴	gbgx
官兵关系	gbgx
够不够	gbgb
狗狗	gbgb
搞不好	gbhk
够好	gbhk
哥本哈根	gbhg
敢把皇帝拉下马	gbhm
高不成	gbig
构成	gbig
功败垂成	gbii
够吃	gbii
高不成低不就	gbij
宫保鸡丁	gbjd
赶不及	gbji
钩稽	gbji
国不可一日无君	gbkj
沟坎	gbkj
功不可没	gbkm
更不可能	gbkn
高不可攀	gbkp
个把礼拜	gblb
佝偻	gblb
管不了	gblc
各部门	gbmf
官逼民反	gbmf
更不能	gbng
哥白尼	gbni
固本培元	gbpy
搞不清楚	gbqi
枸杞	gbqi
各奔前程	gbqi
勾起	gbqi
搞不清	gbqy
果不其然	gbqr
苟全	gbqr
过不去	gbqu
沟渠	gbqu
公报私仇	gbsi
构思	gbsi
更别提	gbti
戈壁滩	gbtj
搞半天	gbtm
跟不上	gbuh
赶不上	gbuh
勾上	gbuh
根本上	gbuh
顾不上	gbuh
更别说	gbuo
胳膊肘往外拐	gbvg
管鲍之交	gbvj
广播站	gbvj
高标准严要求	gbvq
个把钟头	gbvt
管不住	gbvu
构筑	gbvu
干部战士	gbvu
官卑职小	gbvx
高标准	gbvp
胳膊肘	gbvb
甘拜下风	gbxf
鬼不像鬼	gbxg
鬼把戏	gbxi
个把星期	gbxq
各不相让	gbxr
勾选	gbxr
各不相同	gbxt
个把小时	gbxu
改变现状	gbxv
冈比亚	gbya
过把瘾	gbyn
勾引	gbyn
供不应求	gbyq
个把月	gbyt
更不用说	gbyu
公布于	gbyu
故布疑阵	gbyv
根本原因	gbyy
故步自封	gbzf
干部作风	gbzf
固步自封	gbzf
光膀子	gbzi
钩子	gbzi
刚愎自用	gbzy
高昂	gkah
高矮	gkai
高傲	gkao
告白	gkbl
稿本	gkbf
公测版	gcbj
糕饼	gkby
告别	gkbx
高倍	gkbz
高层	gkcg
告辞	gkci
高参	gkcj
搞错	gkco
高大	gkda
高达	gkda
搞到	gkdk
搞得	gkde
搞的	gkde
高等	gkdg
高档	gkdh
高低	gkdi
高地	gkdi
搞定	gkdy
糕点	gkdm
搞掂	gkdm
搞点	gkdm
光彩夺目	gcdm
高调	gkdc
搞丢	gkdq
高端	gkdr
搞懂	gkds
高度	gkdu
高二	gker
告发	gkfa
高分	gkff
高峰	gkfg
高仿	gkfh
告负	gkfu
高飞	gkfz
稿费	gkfz
高高	gkgk
高跟	gkgf
高岗	gkgh
高干	gkgj
搞怪	gkgy
高光	gkgd
高过	gkgo
高管	gkgr
高官	gkgr
高工	gkgs
高估	gkgu
高贵	gkgv
搞鬼	gkgv
高挂	gkgw
高喊	gkhj
高寒	gkhj
搞坏	gkhy
膏肓	gkhd
搞活	gkho
高呼	gkhu
搞混	gkhp
高潮	gkik
高超	gkik
搞成	gkig
高唱	gkih
公开场合	gkih
高昌	gkih
高产	gkij
高处	gkiu
港口城市	gkiu
高出	gkiu
告吹	gkiv
稿酬	gkib
高级	gkji
高科技	gkji
告急	gkji
工控机	gkji
稿件	gkjm
高见	gkjm
高叫	gkjc
告诫	gkjx
告捷	gkjx
高阶	gkjx
高就	gkjq
高举	gkju
高居	gkju
高价	gkjw
高考	gkkk
高开	gkkl
高亢	gkkh
高看	gkkj
高空	gkks
搞垮	gkkw
高了	gkle
搞错了	gcle
高冷	gklg
高丽	gkli
高领	gkly
高龄	gkly
高亮	gkld
高粱	gkld
孤苦伶仃	gkld
搞乱	gklr
高论	gklp
高楼	gklb
高帽	gkmk
告密	gkmi
高明	gkmy
高妙	gkmc
高能	gkng
高难	gknj
高频	gkpn
高攀	gkpj
高票	gkpc
告破	gkpo
高配	gkpz
高清	gkqy
搞清	gkqy
工矿企业	gkqy
高强	gkqd
高跷	gkqc
告饶	gkrk
高人	gkrf
高僧	gksg
搞死	gksi
高三	gksj
高耸	gkss
告诉	gksu
高速	gksu
高台	gktl
高汤	gkth
高谈	gktj
高挑	gktc
高铁	gktx
搞通	gkts
高通	gkts
高徒	gktu
告退	gktv
搞头	gktb
顾此失彼	gcub
高烧	gkuk
高射	gkue
高深	gkuf
高声	gkug
高升	gkug
高才生	gcug
高尚	gkuh
鬼哭神嚎	gkuh
告示	gkui
刚开始	gkui
高山	gkuj
共克时艰	gkuj
高爽	gkud
过从甚密	gcum
高数	gkuu
高手	gkub
高寿	gkub
高枕	gkvf
高涨	gkvh
告知	gkvi
稿纸	gkvi
告状	gkvd
光彩照人	gcvr
高中	gkvs
告终	gkvs
高筑	gkvu
高温	gkwf
睾丸	gkwj
搞完	gkwj
高位	gkwz
告慰	gkwz
高薪	gkxn
高新	gkxn
公开信	gkxn
高息	gkxi
高兴	gkxy
概括性	gkxy
高香	gkxd
搞笑	gkxc
高效	gkxc
高校	gkxc
高些	gkxx
高悬	gkxr
高雄	gkxs
膏血	gkxt
高下	gkxw
高雅	gkya
高压	gkya
高音	gkyn
羔羊	gkyh
高一	gkyi
高原	gkyr
稿约	gkyt
高于	gkyu
膏腴	gkyu
膏油	gkyb
搞砸	gkza
膏泽	gkze
搞脏	gkzh
稿子	gkzi
高祖	gkzu
告罪	gkzv
高走	gkzb
高奏	gkzb
高蛋白	gdbl
丐帮	glbh
改版	glbj
改变	glbm
改编	glbm
管理部门	glbm
高低不平	gdbp
狗都不如	gdbr
狗胆包天	gdbt
盖布	glbu
哥伦布	glbu
管理部	glbu
盖被	glbz
感动不已	gdby
盖茨	glci
关联词	glci
改错	glco
该打	glda
改道	gldk
该当	gldh
该地	gldi
改掉	gldc
改动	glds
该队	gldv
盖房	glfh
盖饭	glfj
改稿	glgk
改改	glgl
咕噜咕噜	glgl
改革	glge
高低贵贱	gdgj
光感	gdgj
光杆	gdgj
改过	glgo
该国	glgo
改观	glgr
搞东搞西	gdgx
改好	glhk
改行	glhh
改坏	glhy
改换	glhr
更待何时	gdhu
改回	glhv
改悔	glhv
钙化	glhw
该当何罪	gdhz
改成	glig
割地称臣	gdii
耕读传家	gdij
故地重游	gdiy
改进	gljn
改建	gljm
高等教育	gdjy
光景	gdjy
概况	glkd
概括	glko
改口	glkb
改了	glle
改良	glld
盖脸	gllm
概略	gllt
概率	gllv
高利率	gllv
概论	gllp
光打雷不下雨	gdly
广陵	gdly
盖楼	gllb
盖帽	glmk
概貌	glmk
盖满	glmj
格莱美奖	glmj
改名	glmy
共渡难关	gdng
光能	gdng
该你	glni
概念	glnm
过两年	glnm
刮地皮	gdpi
广辟	gdpi
改判	glpj
割地赔款	gdpk
钙片	glpm
高低起伏	gdqf
改期	glqi
管理器	glqi
过滤器	glqi
跟打器	gdqi
改签	glqm
各得其所	gdqs
过得去	gdqu
光驱	gdqu
各地区	gdqu
改日	glri
古道热肠	gdri
滚刀肉	gdrb
改色	glse
该死	glsi
过劳死	glsi
感动死了	gdsl
概算	glsr
该他	glta
改天	gltm
过两天	gltm
盖头	gltb
广东省	gdug
盖上	gluh
跟得上	gduh
盖世	glui
桂林市	glui
改善	gluj
该说	gluo
概述	gluu
该书	gluu
橄榄树	gluu
盖着	glve
管理者	glve
改正	glvg
盖章	glvh
改制	glvi
橄榄枝	glvi
改装	glvd
过了这个村就没这个店	glvd
管理制度	glvd
高老庄	glvd
盖住	glvu
管理知识	glvu
改锥	glvv
古典主义	gdvy
扛鼎之作	gdvz
各打五十大板	gdwb
功德无量	gdwl
该我	glwo
改为	glwz
古典文学	gdwx
改性	glxy
改姓	glxy
规律性	glxy
纲领性	glxy
古道西风瘦马	gdxm
光纤	gdxm
光线	gdxm
改小	glxc
该校	glxc
该笑	glxc
改写	glxx
改选	glxr
肝胆相照	gdxv
改下	glxw
盖印	glyn
概要	glyk
改易	glyi
干瞪眼	gdyj
光焰	gdyj
功德圆满	gdym
供大于求	gdyq
改用	glys
高等院校	gdyx
古典音乐	gdyy
光影	gdyy
改造	glzk
盖子	glzi
鬼点子	gdzi
功到自然成	gdzi
光子	gdzi
固定资产	gdzi
广电总局	gdzj
固定资金	gdzj
该做	glzo
改作	glzo
改组	glzu
仡佬族	glzu
公道自在人心	gdzx
割爱	geai
个案	gean
个把	geba
歌本	gebf
隔壁	gebi
戈壁	gebi
隔板	gebj
各半	gebj
胳膊	gebo
个别	gebx
各部	gebu
胳臂	gebz
割草	geck
歌词	geci
改恶从善	gecu
各道	gedk
感恩戴德	gedd
隔代	gedl
各得	gede
咯噔	gedg
格挡	gedh
各地	gedi
歌单	gedj
格调	gedc
歌碟	gedx
隔断	gedr
割断	gedr
格斗	gedb
个儿	geer
各方	gefh
高尔夫球	gefq
高尔夫	gefu
哥哥	gege
各个	gege
个个	gege
咯咯	gege
孤儿寡妇	gegf
孤儿寡母	gegm
各国	gego
个股	gegu
广而告之	gegv
隔阂	gehe
各行	gehh
隔行	gehh
隔火	geho
歌会	gehv
歌喉	gehb
隔成	geig
歌唱	geih
各处	geiu
革除	geiu
割除	geiu
各尽	gejn
各级	geji
高尔基	geji
隔间	gejm
各界	gejx
个旧	gejq
隔绝	gejt
格局	geju
歌剧	geju
割据	geju
各家	gejw
隔开	gekl
隔空	geks
隔了	gele
割了	gele
隔离	geli
割裂	gelx
各路	gelu
各类	gelz
哥俩	gelw
阁楼	gelb
割脉	geml
哥们	gemf
歌迷	gemi
革命	gemy
隔膜	gemo
过而能改	geng
歌女	genv
鸽派	gepl
各派	gepl
嗝屁	gepi
各批	gepi
割弃	geqi
各期	geqi
隔墙	geqd
搁浅	geqm
歌曲	gequ
各区	gequ
隔热	gere
各人	gerf
个人	gerf
割让	gerh
隔日	geri
割肉	gerb
哥嫂	gesk
各色	gese
歌颂	gess
感恩图报	getb
个头	getb
个体	geti
歌坛	getj
各摊	getj
隔天	getm
各条	getc
格杀	geua
割舍	geue
歌声	geug
各省	geug
格式	geui
各式	geui
各市	geui
格栅	geuj
隔山	geuj
个税	geuv
歌手	geub
隔着	geve
搁置	gevi
革职	gevi
各占	gevj
各站	gevj
各种	gevs
格外	gewl
歌王	gewh
割腕	gewj
公而忘私	gews
歌舞	gewu
各位	gewz
个位	gewz
革新	gexn
割席	gexi
各系	gexi
个性	gexy
歌星	gexy
各项	gexd
各显	gexm
各县	gexm
各校	gexc
改恶向善	gexu
阁下	gexw
隔音	geyn
歌谣	geyk
隔夜	geye
各业	geye
各样	geyh
各异	geyi
歌艺	geyi
格言	geyj
膈应	geyy
恭而有礼	geyl
阁员	geyr
孤儿院	geyr
歌咏	geys
各有	geyb
各自	gezi
鸽子	gezi
个子	gezi
各族	gezu
各组	gezu
根本	gfbf
跟班	gfbj
高分辨率	gfbl
功夫不负有心人	gfbr
工夫不负有心人	gfbr
根部	gfbu
国防部	gfbu
跟从	gfcs
跟打	gfda
根底	gfdi
跟单	gfdj
根雕	gfdc
跟丢	gfdq
国防大学	gfdx
跟斗	gfdb
跟风	gffg
股份公司	gfgs
根骨	gfgu
亘古	gfgu
搞风搞雨	gfgy
国防工业	gfgy
根号	gfhk
高负荷	gfhe
规范化	gfhw
跟车	gfie
根除	gfiu
跟进	gfjn
根基	gfji
高风峻节	gfjj
根茎	gfjy
光风霁月	gfjy
国防教育	gfjy
跟腱	gfjm
根脚	gfjc
跟脚	gfjc
根绝	gfjt
根据	gfju
国防建设	gfju
跟了	gfle
搞反了	gfle
辜负了	gfle
高风亮节	gflj
根苗	gfmc
国富民强	gfmq
跟你	gfni
跟拍	gfpl
功夫片	gfpm
高峰期	gfqi
高发期	gfqi
跟前	gfqm
跟去	gfqu
高发区	gfqu
跟人	gfrf
跟随	gfsv
跟他	gfta
跟她	gfta
跟帖	gftx
跟贴	gftx
鬼斧神工	gfug
跟上	gfuh
根式	gfui
高富帅	gfuy
跟手	gfub
跟着	gfve
购房者	gfve
根治	gfvi
股份制	gfvi
跟庄	gfvd
跟我	gfwo
共赴巫山	gfwu
根系	gfxi
规范性	gfxy
刮风下雨	gfxy
广泛性	gfxy
高风险	gfxm
根须	gfxu
根源	gfyr
股份有限公司	gfys
官复原职	gfyv
根由	gfyb
根子	gfzi
高分子	gfzi
盖房子	gfzi
跟踪	gfzs
孤芳自赏	gfzu
更爱	ggai
公共安全	ggaq
亘古不变	ggbb
各个部分	ggbf
亘古不灭	ggbm
各个部门	ggbm
格格不入	ggbr
更不	ggbu
狗改不了吃屎	ggbu
干干脆脆	ggcc
更惨	ggcj
公共厕所	ggcs
更大	ggda
归根到底	ggdd
怪怪的	ggde
更低	ggdi
耕地	ggdi
盖棺定论	ggdl
更多	ggdo
更迭	ggdx
革故鼎新	ggdx
更短	ggdr
耕读	ggdu
更饿	ggee
滚滚而来	ggel
更夫	ggfu
更高	gggk
更改	gggl
梗概	gggl
古古怪怪	gggg
耿耿	gggg
更广	gggd
鳏寡孤独	gggd
高高挂起	gggq
广告公司	gggs
功高盖世	gggu
公共关系	gggx
更好	gghk
滚滚红尘	gghi
更坏	gghy
高官厚禄	gghl
更换	gghr
更差	ggia
更长	ggih
公共场合	ggih
公共场所	ggis
改革创新	ggix
更丑	ggib
更近	ggjn
更紧	ggjn
归根结底	ggjd
公共机构	ggjg
干干净净	ggjj
恭恭敬敬	ggjj
规规矩矩	ggjj
呱呱叫	ggjc
各个击破	ggjp
更久	ggjq
更具	ggju
更加	ggjw
更卡	ggka
改革开放	ggkf
更快	ggky
更宽	ggkr
更苦	ggku
更亏	ggkv
公共开支	ggkv
刮骨疗毒	ggld
盖棺论定	ggld
光怪陆离	ggll
骨干力量	ggll
赶过来	ggll
更乱	gglr
孤寡老人	gglr
滚瓜烂熟	gglu
更累	gglz
各个领域	ggly
公共利益	ggly
关公面前耍大刀	ggmd
更忙	ggmh
高歌猛进	ggmj
更慢	ggmj
灌溉面积	ggmj
更名	ggmy
挂个名	ggmy
更美	ggmz
更能	ggng
更难	ggnj
更年	ggnm
鼓鼓囊囊	ggnn
耕牛	ggnq
更怕	ggpa
更胖	ggph
公共汽车	ggqi
更其	ggqi
更轻	ggqy
骨干企业	ggqy
更强	ggqd
骨骼清奇	ggqq
更全	ggqr
更穷	ggqs
更趋	ggqu
更热	ggre
更让	ggrh
歌功颂德	ggsd
梗塞	ggse
梗死	ggsi
贵公司	ggsi
光杆司令	ggsl
鬼鬼祟祟	ggss
羹汤	ggth
更替	ggti
耕田	ggtm
庚帖	ggtx
更傻	ggua
更少	gguk
更深	gguf
更甚	gguf
更是	ggui
更帅	gguy
公共事业	gguy
更爽	ggud
公共事务	gguw
更瘦	ggub
呱呱坠地	ggvd
更窄	ggvl
耕者	ggve
搞搞震	ggvf
更正	ggvg
更张	ggvh
耿直	ggvi
过关斩将	ggvj
更重	ggvs
耕种	ggvs
工工整整	ggvv
功高震主	ggvv
更准	ggvp
更稳	ggwf
更晚	ggwj
公共卫生	ggwu
更无	ggwu
更为	ggwz
广告位	ggwz
亘古未有	ggwy
更新	ggxn
官官相护	ggxh
高官显爵	ggxj
更像	ggxd
更想	ggxd
更显	ggxm
攻关项目	ggxm
更小	ggxc
高跟鞋	ggxx
高高兴兴	ggxx
更凶	ggxs
更要	ggyk
哽咽	ggye
哽噎	ggye
耿耿于怀	ggyh
更衣	ggyi
更易	ggyi
更严	ggyj
更应	ggyy
供过于求	ggyq
更远	ggyr
更圆	ggyr
归功于	ggyu
耕耘	ggyp
更有	ggyb
更早	ggzk
高干子弟	ggzd
骨鲠在喉	ggzh
高个子	ggzi
耕作	ggzo
高高在上	ggzu
梗阻	ggzu
改过自新	ggzx
公共资源	ggzy
杠杆作用	ggzy
港澳	ghao
刚把	ghba
高回报	ghbk
港币	ghbi
钢笔	ghbi
钢板	ghbj
干活不累	ghbl
关怀备至	ghbv
刚被	ghbz
刚才	ghcl
光辉灿烂	ghcl
钢材	ghcl
刚从	ghcs
刚到	ghdk
刮胡刀	ghdk
共和党	ghdh
钢钉	ghdy
钢锭	ghdy
港督	ghdu
过会儿	gher
鬼画符	ghfu
港府	ghfu
刚刚	ghgh
杠杆	ghgj
各回各家	ghgj
刚果	ghgo
共和国	ghgo
刚过	ghgo
钢管	ghgr
各怀鬼胎	ghgt
港股	ghgu
